age,emp_type,emp_exp,income,add_income,loan_amt,loan_term,loan_purpose,debt,emi,credit,defaults,repay_status,risk_score,source,timestamp
34,salaried,22,1100920,0,4553751,36,Personal / Consumption,341819,12915,768,0,good,22,bootstrap,2026-08-04T09:33:38.102124+00:00
54,other,10,2253044,166492,10306053,120,Business / MSME working capital,239562,22801,660,1,good,87,bootstrap,2026-08-04T09:33:38.102198+00:00
60,self,21,1447574,0,2027390,48,Personal / Consumption,122629,11996,682,0,good,37,bootstrap,2026-08-04T09:33:38.102263+00:00
59,salaried,12,1954221,0,8214971,240,Debt consolidation,363299,36366,470,0,excellent,47,bootstrap,2026-08-04T09:33:38.102314+00:00
49,self,27,1519444,0,8180388,36,Vehicle,854815,25162,875,0,good,42,bootstrap,2026-08-04T09:33:38.102361+00:00
47,self,14,2262447,0,1436982,12,Vehicle,612556,2142,581,0,excellent,57,bootstrap,2026-08-04T09:33:38.102408+00:00
57,self,24,2118144,0,9658547,24,Personal / Consumption,1138976,24042,855,1,excellent,42,bootstrap,2026-08-04T09:33:38.102455+00:00
55,salaried,13,2051225,0,5044727,12,Education,551163,22844,389,0,poor,92,bootstrap,2026-08-04T09:33:38.102502+00:00
34,self,18,1193823,0,6012236,120,Vehicle,646081,9124,511,1,fair,98,bootstrap,2026-08-04T09:33:38.102574+00:00
55,salaried,17,1671426,0,4959595,60,Business / MSME working capital,280329,33712,397,0,fair,77,bootstrap,2026-08-04T09:33:38.102671+00:00
24,other,27,1926359,0,2276183,48,Vehicle,675485,16223,702,0,good,32,bootstrap,2026-08-04T09:33:38.102735+00:00
61,salaried,14,1327081,0,3429357,240,Debt consolidation,291740,24187,765,2,excellent,17,bootstrap,2026-08-04T09:33:38.102793+00:00
26,self,14,210372,0,182814,240,Education,28551,28157,516,0,excellent,57,bootstrap,2026-08-04T09:33:38.102840+00:00
42,salaried,4,1389475,158410,6662770,84,Debt consolidation,799281,3172,347,0,fair,85,bootstrap,2026-08-04T09:33:38.102886+00:00
22,salaried,27,2127625,51414,7709103,12,Education,424292,8645,609,0,poor,92,bootstrap,2026-08-04T09:33:38.102931+00:00
26,self,8,1349320,0,5624303,36,Home purchase,415594,20021,539,0,excellent,67,bootstrap,2026-08-04T09:33:38.102985+00:00
21,salaried,2,599229,0,2228707,180,Home purchase,4227,22516,423,2,good,98,bootstrap,2026-08-04T09:33:38.103031+00:00
51,salaried,12,754382,0,915717,84,Personal / Consumption,156895,8986,691,1,fair,37,bootstrap,2026-08-04T09:33:38.103078+00:00
62,other,4,758455,0,1426709,180,Personal / Consumption,378762,13962,455,1,good,75,bootstrap,2026-08-04T09:33:38.103124+00:00
34,salaried,3,2055492,0,9941408,120,Personal / Consumption,900493,20611,443,0,good,75,bootstrap,2026-08-04T09:33:38.103205+00:00
56,self,23,1240887,0,6584471,12,Debt consolidation,316302,13464,830,0,excellent,32,bootstrap,2026-08-04T09:33:38.103269+00:00
39,self,25,1843122,72741,6524085,24,Vehicle,1047700,38923,372,0,poor,98,bootstrap,2026-08-04T09:33:38.103318+00:00
41,salaried,27,1714555,158997,6180603,240,Debt consolidation,181162,30868,374,0,excellent,47,bootstrap,2026-08-04T09:33:38.103365+00:00
34,salaried,1,1299684,0,5322833,240,Education,444150,26363,384,0,good,73,bootstrap,2026-08-04T09:33:38.103420+00:00
38,salaried,2,840388,0,1353397,240,Personal / Consumption,204855,38432,367,0,good,65,bootstrap,2026-08-04T09:33:38.103467+00:00
24,salaried,29,1200917,0,3853158,12,Personal / Consumption,698435,11511,422,0,excellent,57,bootstrap,2026-08-04T09:33:38.103564+00:00
31,salaried,11,247607,0,400146,84,Vehicle,70454,7736,330,0,good,57,bootstrap,2026-08-04T09:33:38.103638+00:00
25,salaried,18,2397203,0,8373974,180,Business / MSME working capital,755234,3633,811,1,excellent,2,bootstrap,2026-08-04T09:33:38.103696+00:00
37,self,28,859805,0,1965995,240,Home purchase,23088,805,550,0,good,47,bootstrap,2026-08-04T09:33:38.103754+00:00
32,other,27,829500,19270,1933370,84,Vehicle,218238,20967,577,1,good,98,bootstrap,2026-08-04T09:33:38.103802+00:00
53,self,1,700803,0,3423638,240,Home purchase,210200,4517,776,1,fair,48,bootstrap,2026-08-04T09:33:38.103849+00:00
41,salaried,14,1503160,0,3416703,60,Business / MSME working capital,822615,19917,548,0,good,67,bootstrap,2026-08-04T09:33:38.103895+00:00
33,self,17,2269304,0,157003,120,Home purchase,488631,35490,654,0,good,17,bootstrap,2026-08-04T09:33:38.103942+00:00
42,salaried,21,240243,0,267996,48,Business / MSME working capital,62434,27513,803,2,poor,72,bootstrap,2026-08-04T09:33:38.103988+00:00
38,salaried,29,797157,70679,3174689,180,Debt consolidation,44513,38061,397,0,good,67,bootstrap,2026-08-04T09:33:38.104034+00:00
25,self,1,1854029,0,4022370,60,Personal / Consumption,660621,25752,634,0,excellent,83,bootstrap,2026-08-04T09:33:38.104081+00:00
33,salaried,24,513261,0,701839,24,Vehicle,235702,30543,621,0,good,57,bootstrap,2026-08-04T09:33:38.104126+00:00
49,salaried,8,1070889,0,1372173,60,Debt consolidation,632608,2643,520,1,excellent,37,bootstrap,2026-08-04T09:33:38.104200+00:00
36,other,12,582574,0,2890312,60,Personal / Consumption,91156,2036,714,1,good,72,bootstrap,2026-08-04T09:33:38.104260+00:00
27,salaried,25,1247957,0,150301,12,Vehicle,137064,12984,710,0,good,2,bootstrap,2026-08-04T09:33:38.104310+00:00
58,self,29,552486,0,320415,48,Debt consolidation,232485,8440,394,1,fair,67,bootstrap,2026-08-04T09:33:38.104359+00:00
28,salaried,14,1590621,0,7317158,120,Education,30914,25082,736,0,excellent,22,bootstrap,2026-08-04T09:33:38.104406+00:00
38,salaried,28,984968,0,5201499,48,Debt consolidation,309440,32695,721,1,good,62,bootstrap,2026-08-04T09:33:38.104452+00:00
32,salaried,6,900000.0,60000.0,700000.0,60,Personal / Consumption,150000.0,8000.0,712,0,good,25,live,2026-08-04T10:14:33.999461+00:00
